experiment,architecture,checkpoint_epoch,accuracy,macro_precision,macro_recall,macro_f1,macro_auc
efficientnet_b0,efficientnet_b0,15,0.8621031746031746,0.7843672290331277,0.7362022365278281,0.7458018253606086,0.9752033010062091
efficientnet_b0_weighted_ce,efficientnet_b0,15,0.8174603174603174,0.6771754619552183,0.7678348326324114,0.7119934312782137,0.9691379963889781
efficientnet_b0_focal,efficientnet_b0,12,0.8184523809523809,0.6882550051333519,0.783347164603301,0.7243982841667199,0.9675131276960928
